name,conf,x1,y1,x2,y2,path_img,true_label
klikun,0.43374655,4,2,462,288,klikun\images\1492824103.jpg,klikun
maliy,0.108326875,0,2,458,283,klikun\images\1492824103.jpg,klikun
klikun,0.5581205,40,1,494,272,klikun\images\1492824353.jpg,klikun
klikun,0.9608397,97,208,640,640,klikun\images\1669911608.jpg,klikun
klikun,0.7396009,1124,647,640,640,klikun\images\1669911608.jpg,klikun
shipun,0.115904085,1124,645,640,640,klikun\images\1669911608.jpg,klikun
klikun,0.8457464,298,306,640,640,klikun\images\1670765289.jpg,klikun
maliy,0.15849188,293,310,640,640,klikun\images\1670765289.jpg,klikun
klikun,0.90105224,191,208,640,640,klikun\images\1821336890.jpg,klikun
klikun,0.9270468,190,217,640,640,klikun\images\1821450313.jpg,klikun
klikun,0.8592822,272,308,640,640,klikun\images\1823549999.jpg,klikun
maliy,0.14627127,268,315,640,640,klikun\images\1823549999.jpg,klikun
klikun,0.96352047,99,164,504,460,klikun\images\1833572831.jpg,klikun
klikun,0.95181453,260,196,640,640,klikun\images\1833683485.jpg,klikun
klikun,0.9366472,456,329,640,640,klikun\images\1835904392.jpg,klikun
shipun,0.5068113,0,37,640,640,klikun\images\1835911780.jpg,klikun
klikun,0.1489788,0,97,640,640,klikun\images\1835911780.jpg,klikun
klikun,0.82382077,127,152,640,570,klikun\images\1837610267.jpg,klikun
klikun,0.87309253,354,228,640,640,klikun\images\1838786483.jpg,klikun
klikun,0.1602024,1,853,112,640,klikun\images\1838786483.jpg,klikun
klikun,0.13911185,201,862,304,640,klikun\images\1838786483.jpg,klikun
klikun,0.94012547,353,206,640,640,klikun\images\1841316524.jpg,klikun
klikun,0.92097527,185,14,640,607,klikun\images\1843988952.jpg,klikun
klikun,0.86792403,587,81,640,640,klikun\images\1844108625.jpg,klikun
klikun,0.74661446,780,311,640,585,klikun\images\1844233972.jpg,klikun
maliy,0.6766088,176,428,627,640,klikun\images\1844233972.jpg,klikun
klikun,0.44087335,176,426,626,640,klikun\images\1844233972.jpg,klikun
maliy,0.30002785,780,312,640,584,klikun\images\1844233972.jpg,klikun
klikun,0.6226354,389,321,640,640,klikun\images\1845150406.jpg,klikun
maliy,0.5655866,389,323,640,640,klikun\images\1845150406.jpg,klikun
klikun,0.90630037,241,210,640,640,klikun\images\1847613632.jpg,klikun
klikun,0.8541069,211,212,640,640,klikun\images\1915307237.jpg,klikun
klikun,0.7878081,223,132,640,424,klikun\images\1951160025.jpg,klikun
shipun,0.7155745,124,214,388,426,klikun\images\1951236981.jpg,klikun
klikun,0.11350306,125,214,377,428,klikun\images\1951236981.jpg,klikun
maliy,0.82617825,680,145,640,191,klikun\images\1951323140.jpg,klikun
maliy,0.78975713,607,147,640,194,klikun\images\1951323140.jpg,klikun
maliy,0.69824404,239,141,527,505,klikun\images\1951323140.jpg,klikun
maliy,0.5958816,498,155,559,182,klikun\images\1951323140.jpg,klikun
maliy,0.43362346,337,157,382,188,klikun\images\1951323140.jpg,klikun
maliy,0.34499392,442,147,491,186,klikun\images\1951323140.jpg,klikun
maliy,0.112563245,394,152,450,194,klikun\images\1951323140.jpg,klikun
maliy,0.78193104,142,188,443,503,klikun\images\1951329773.jpg,klikun
klikun,0.88821113,252,174,640,495,klikun\images\1951440961.jpg,klikun
klikun,0.94438744,280,98,640,485,klikun\images\1951615077.jpg,klikun
shipun,0.38747713,181,169,547,467,klikun\images\1952852117.jpg,klikun
klikun,0.94641215,194,216,453,616,klikun\images\1956330970.jpg,klikun
klikun,0.9625988,276,126,640,475,klikun\images\1956593279.jpg,klikun
klikun,0.8969601,73,158,291,401,klikun\images\1956593279.jpg,klikun
klikun,0.7331862,51,285,386,622,klikun\images\1956603987.jpg,klikun
klikun,0.9507927,152,188,507,640,klikun\images\1958716644.jpg,klikun
klikun,0.9702702,148,147,622,476,klikun\images\1960710519.jpg,klikun
maliy,0.84307915,70,115,518,420,klikun\images\1960783182.jpg,klikun
klikun,0.8702826,124,222,306,467,klikun\images\1962080851.jpg,klikun
klikun,0.82803434,294,250,587,472,klikun\images\1962080851.jpg,klikun
maliy,0.16130877,122,219,310,466,klikun\images\1962080851.jpg,klikun
klikun,0.9258323,234,58,640,541,klikun\images\1962245752.jpg,klikun
klikun,0.92361236,62,78,640,412,klikun\images\1963419707.jpg,klikun
maliy,0.5949705,144,259,354,464,klikun\images\1963861323.jpg,klikun
klikun,0.3492235,3,162,640,428,klikun\images\1963867794.jpg,klikun
maliy,0.2792382,4,161,640,429,klikun\images\1963867794.jpg,klikun
shipun,0.20725909,13,165,640,423,klikun\images\1963867794.jpg,klikun
klikun,0.92524165,9,113,588,577,klikun\images\1968067241.jpg,klikun
klikun,0.9553343,279,119,640,501,klikun\images\1968156214.jpg,klikun
klikun,0.17628665,7,16,614,533,klikun\images\1969650006.jpg,klikun
klikun,0.45227656,132,120,640,402,klikun\images\1971168646.jpg,klikun
shipun,0.2830953,129,121,640,402,klikun\images\1971168646.jpg,klikun
maliy,0.24671146,129,121,640,401,klikun\images\1971168646.jpg,klikun
maliy,0.5710851,105,205,534,484,klikun\images\1971553275.jpg,klikun
klikun,0.7999395,61,54,504,640,klikun\images\1971563628.jpg,klikun
klikun,0.94878614,228,76,640,509,klikun\images\1971568031.jpg,klikun
maliy,0.83723617,107,86,350,513,klikun\images\1971704674.jpg,klikun
maliy,0.7440135,146,2,337,260,klikun\images\1971704674.jpg,klikun
maliy,0.68997896,329,70,627,548,klikun\images\1971704674.jpg,klikun
maliy,0.3123516,0,125,68,259,klikun\images\1971704674.jpg,klikun
klikun,0.94510937,133,151,601,485,klikun\images\1971908876.jpg,klikun
maliy,0.80670404,137,247,535,458,klikun\images\1971925399.jpg,klikun
klikun,0.9442179,257,71,593,479,klikun\images\1973987937.jpg,klikun
klikun,0.85086757,22,166,533,475,klikun\images\1975008044.jpg,klikun
klikun,0.9094644,219,65,591,482,klikun\images\1975196643.jpg,klikun
klikun,0.3705728,0,0,190,305,klikun\images\1975196643.jpg,klikun
shipun,0.2895152,612,0,640,348,klikun\images\1975196643.jpg,klikun
klikun,0.27733287,613,0,640,350,klikun\images\1975196643.jpg,klikun
maliy,0.2548801,0,0,190,304,klikun\images\1975196643.jpg,klikun
maliy,0.23682721,612,0,640,349,klikun\images\1975196643.jpg,klikun
shipun,0.22508726,668,348,640,395,klikun\images\1975196643.jpg,klikun
shipun,0.13226125,617,370,640,386,klikun\images\1975196643.jpg,klikun
klikun,0.8620545,173,20,476,527,klikun\images\1975328407.jpg,klikun
klikun,0.71896476,66,26,253,434,klikun\images\1975328407.jpg,klikun
klikun,0.6323874,334,138,640,526,klikun\images\1975328407.jpg,klikun
maliy,0.5718627,334,139,640,526,klikun\images\1975328407.jpg,klikun
klikun,0.10530263,325,86,500,294,klikun\images\1975328407.jpg,klikun
shipun,0.60177433,2,298,640,640,klikun\images\1986597746.jpg,klikun
klikun,0.9414356,776,238,640,640,klikun\images\1995019234.jpg,klikun
shipun,0.8112702,164,491,640,640,klikun\images\1995019234.jpg,klikun
klikun,0.64913726,161,488,640,640,klikun\images\1995019234.jpg,klikun
klikun,0.9222638,242,371,640,640,klikun\images\1995154227.jpg,klikun
klikun,0.958042,173,221,640,547,klikun\images\2006110734.jpg,klikun
klikun,0.95381993,1044,197,640,640,klikun\images\2027434224.jpg,klikun
klikun,0.94934154,164,204,507,640,klikun\images\2027434224.jpg,klikun
klikun,0.9638359,318,173,640,640,klikun\images\2238840401.jpg,klikun
klikun,0.48279852,153,243,617,633,klikun\images\2247901861.jpg,klikun
klikun,0.6122671,415,102,640,503,klikun\images\2270866796.jpg,klikun
klikun,0.19833873,732,96,640,156,klikun\images\2270866796.jpg,klikun
klikun,0.87014365,382,156,640,552,klikun\images\2271416065.jpg,klikun
klikun,0.96017635,262,255,640,640,klikun\images\2271577373.jpg,klikun
klikun,0.4286456,32,153,640,634,klikun\images\2271669900.jpg,klikun
shipun,0.45495385,97,29,449,635,klikun\images\2398301174.jpg,klikun
klikun,0.94231236,774,134,640,640,klikun\images\2398337194.jpg,klikun
klikun,0.83742374,135,252,640,640,klikun\images\2398337194.jpg,klikun
klikun,0.106758,0,537,157,640,klikun\images\2398337194.jpg,klikun
klikun,0.83124447,78,37,405,614,klikun\images\2400713065.jpg,klikun
klikun,0.9698496,223,67,527,381,klikun\images\2400949186.jpg,klikun
klikun,0.7440599,254,72,595,423,klikun\images\2402985882.jpg,klikun
shipun,0.3204376,0,64,81,276,klikun\images\2402985882.jpg,klikun
shipun,0.18513857,3,0,638,122,klikun\images\2402985882.jpg,klikun
klikun,0.735598,324,140,640,640,klikun\images\2403046511.jpg,klikun
klikun,0.66142327,128,198,485,447,klikun\images\2405691105.jpg,klikun
klikun,0.543741,199,35,611,381,klikun\images\2405691105.jpg,klikun
klikun,0.13086921,0,171,68,423,klikun\images\2405691105.jpg,klikun
klikun,0.65496075,89,52,575,436,klikun\images\2407062021.jpg,klikun
maliy,0.75583327,384,126,591,376,klikun\images\2408376274.jpg,klikun
maliy,0.5421603,123,110,446,446,klikun\images\2408376274.jpg,klikun
klikun,0.47295538,122,109,445,446,klikun\images\2408376274.jpg,klikun
klikun,0.9727925,268,36,579,389,klikun\images\2408881627.jpg,klikun
klikun,0.5783912,227,80,519,438,klikun\images\2409396596.jpg,klikun
klikun,0.97420865,85,109,403,345,klikun\images\2409654690.jpg,klikun
klikun,0.8214288,18,21,633,361,klikun\images\2410213770.jpg,klikun
klikun,0.93189347,59,110,349,307,klikun\images\2412372249.jpg,klikun
shipun,0.49013993,242,341,640,640,klikun\images\2422871857.jpg,klikun
klikun,0.60317576,0,385,640,640,klikun\images\2432915584.jpg,klikun
klikun,0.7908291,274,283,640,640,klikun\images\2465272201.jpg,klikun
shipun,0.7335251,0,2,640,209,klikun\images\2465272201.jpg,klikun
klikun,0.9465794,72,169,352,393,klikun\images\24_Mikhaylov_F06a.jpg,klikun
klikun,0.9489812,158,160,583,468,klikun\images\24_Mizinenko_0802.jpg,klikun
shipun,0.60153615,303,40,640,640,klikun\images\24_Mizinenko_2029.jpg,klikun
klikun,0.8264441,102,68,531,563,klikun\images\24_Mizinenko_3388.jpg,klikun
klikun,0.6797832,251,282,640,534,klikun\images\24_Mizinenko_4049.jpg,klikun
shipun,0.20996685,5,6,640,596,klikun\images\24_Mizinenko_4929.jpg,klikun
klikun,0.8959794,527,282,640,409,klikun\images\24_Mizinenko_5756.jpg,klikun
klikun,0.8551927,642,224,640,416,klikun\images\24_Mizinenko_5756.jpg,klikun
klikun,0.8494551,293,263,467,430,klikun\images\24_Mizinenko_5756.jpg,klikun
klikun,0.8241424,87,315,237,444,klikun\images\24_Mizinenko_5756.jpg,klikun
klikun,0.76887,362,234,543,377,klikun\images\24_Mizinenko_5756.jpg,klikun
klikun,0.67763966,211,386,313,459,klikun\images\24_Mizinenko_5756.jpg,klikun
maliy,0.5778544,332,192,640,445,klikun\images\24_Mizinenko_5869.jpg,klikun
klikun,0.20241575,0,0,640,452,klikun\images\24_Mizinenko_5869.jpg,klikun
klikun,0.7330321,502,177,640,638,klikun\images\24_Mizinenko_6582.jpg,klikun
klikun,0.544432,142,289,640,450,klikun\images\24_Mizinenko_6875.jpg,klikun
klikun,0.6112431,283,48,532,353,klikun\images\24_Mizinenko_9747.jpg,klikun
maliy,0.5775969,401,351,640,582,klikun\images\24_Mizinenko_9747.jpg,klikun
klikun,0.5650041,403,351,640,582,klikun\images\24_Mizinenko_9747.jpg,klikun
maliy,0.5285614,454,51,640,329,klikun\images\24_Mizinenko_9747.jpg,klikun
klikun,0.45639798,454,50,640,329,klikun\images\24_Mizinenko_9747.jpg,klikun
maliy,0.4536473,283,47,530,355,klikun\images\24_Mizinenko_9747.jpg,klikun
klikun,0.43555456,354,280,640,640,klikun\images\2540887347.jpg,klikun
maliy,0.40177056,355,286,640,640,klikun\images\2540887347.jpg,klikun
shipun,0.6824094,0,0,640,640,klikun\images\2550048507.jpg,klikun
maliy,0.91994005,832,589,640,640,klikun\images\2550065402.jpg,klikun
maliy,0.38341084,817,312,640,640,klikun\images\2550065402.jpg,klikun
klikun,0.96956897,130,191,640,640,klikun\images\2572484975.jpg,klikun
klikun,0.95514816,683,195,640,640,klikun\images\2572484975.jpg,klikun
klikun,0.7128707,1295,407,640,640,klikun\images\2572484975.jpg,klikun
klikun,0.2966511,1062,389,640,640,klikun\images\2572484975.jpg,klikun
klikun,0.67503816,260,445,640,640,klikun\images\2576290314.jpg,klikun
klikun,0.92881376,176,226,640,640,klikun\images\2579102615.jpg,klikun
klikun,0.87518096,395,162,640,640,klikun\images\2579231265.jpg,klikun
klikun,0.8428437,1149,178,640,640,klikun\images\2579231265.jpg,klikun
shipun,0.45659512,0,0,413,374,klikun\images\2579231265.jpg,klikun
klikun,0.4085314,0,0,422,380,klikun\images\2579231265.jpg,klikun
shipun,0.14249998,1690,0,640,51,klikun\images\2579231265.jpg,klikun
klikun,0.7664717,220,282,640,640,klikun\images\2814403783.jpg,klikun
maliy,0.32267088,970,441,640,640,klikun\images\2814403783.jpg,klikun
shipun,0.26069778,984,445,640,640,klikun\images\2814403783.jpg,klikun
klikun,0.22435467,986,440,640,640,klikun\images\2814403783.jpg,klikun
klikun,0.6197432,347,241,640,640,klikun\images\2823022324.jpg,klikun
klikun,0.9549868,162,184,640,549,klikun\images\2833836883.jpg,klikun
klikun,0.93009984,48,72,486,316,klikun\images\2834728894.jpg,klikun
klikun,0.92507327,59,92,640,444,klikun\images\2838591398.jpg,klikun
klikun,0.9486659,269,201,640,640,klikun\images\2838658132.jpg,klikun
maliy,0.6399068,276,377,633,594,klikun\images\2841680799.jpg,klikun
klikun,0.21849206,281,371,635,593,klikun\images\2841680799.jpg,klikun
klikun,0.42746153,77,288,613,635,klikun\images\2842289309.jpg,klikun
maliy,0.29838294,78,289,610,637,klikun\images\2842289309.jpg,klikun
maliy,0.72509575,342,136,640,620,klikun\images\2842939133.jpg,klikun
maliy,0.54042375,1,3,466,337,klikun\images\2842939133.jpg,klikun
klikun,0.19012846,341,138,640,620,klikun\images\2842939133.jpg,klikun
klikun,0.96076715,265,135,585,516,klikun\images\2843124043.jpg,klikun
klikun,0.8770337,459,77,640,404,klikun\images\2843124043.jpg,klikun
klikun,0.81053984,185,135,640,541,klikun\images\2843157585.jpg,klikun
klikun,0.7774933,373,136,640,640,klikun\images\2843748694.jpg,klikun
klikun,0.17544462,233,237,536,640,klikun\images\2843748694.jpg,klikun
maliy,0.14623488,877,204,640,640,klikun\images\2843748694.jpg,klikun
klikun,0.12216778,876,123,640,640,klikun\images\2843748694.jpg,klikun
maliy,0.38390487,28,135,557,389,klikun\images\2844974234.jpg,klikun
klikun,0.26858237,26,134,562,388,klikun\images\2844974234.jpg,klikun
klikun,0.97017497,193,76,640,429,klikun\images\2845008599.jpg,klikun
klikun,0.95138514,427,84,640,595,klikun\images\2845629597.jpg,klikun
klikun,0.7317124,22,96,503,479,klikun\images\2979928671.jpg,klikun
klikun,0.9147948,183,172,640,541,klikun\images\2980811236.jpg,klikun
shipun,0.9147991,5,138,631,640,klikun\images\2999037877.jpg,klikun
klikun,0.45562434,126,645,640,640,klikun\images\3008055325.jpg,klikun
klikun,0.94424903,276,410,640,640,klikun\images\3008499848.jpg,klikun
klikun,0.54044175,121,51,640,640,klikun\images\3044659095.jpg,klikun
maliy,0.45520166,118,48,640,640,klikun\images\3044659095.jpg,klikun
klikun,0.92783844,354,393,640,640,klikun\images\3044826579.jpg,klikun
klikun,0.8620813,73,68,640,593,klikun\images\3044932513.jpg,klikun
maliy,0.67090684,357,131,640,585,klikun\images\3049312008.jpg,klikun
klikun,0.4846005,357,130,640,584,klikun\images\3049312008.jpg,klikun
klikun,0.94233847,208,211,599,480,klikun\images\3049381373.jpg,klikun
shipun,0.10448167,512,0,573,40,klikun\images\3049381373.jpg,klikun
maliy,0.35940284,126,123,640,640,klikun\images\3049711634.jpg,klikun
klikun,0.13563153,78,131,640,640,klikun\images\3049711634.jpg,klikun
klikun,0.9389264,610,137,640,640,klikun\images\3049915581.jpg,klikun
klikun,0.92597973,105,234,640,640,klikun\images\3049915581.jpg,klikun
klikun,0.62360084,245,166,640,640,klikun\images\3050336476.jpg,klikun
klikun,0.8246453,350,373,640,640,klikun\images\3050569396.jpg,klikun
klikun,0.5925446,212,371,640,640,klikun\images\3057158343.jpg,klikun
maliy,0.456262,212,371,640,640,klikun\images\3057158343.jpg,klikun
shipun,0.53575647,4,224,640,640,klikun\images\3070359970.jpg,klikun
klikun,0.83426577,416,222,640,640,klikun\images\3078271629.jpg,klikun
klikun,0.91613096,208,388,640,640,klikun\images\3078610006.jpg,klikun
klikun,0.8739177,752,409,640,640,klikun\images\3078610006.jpg,klikun
klikun,0.9356969,317,131,640,372,klikun\images\3079678105.jpg,klikun
maliy,0.64555043,2,145,161,295,klikun\images\3079821926.jpg,klikun
klikun,0.5742259,96,193,640,640,klikun\images\3079821926.jpg,klikun
klikun,0.9624174,629,310,640,640,klikun\images\3080105333.jpg,klikun
shipun,0.39372402,118,87,640,640,klikun\images\3084826464.jpg,klikun
klikun,0.6687178,147,682,373,640,klikun\images\3090729843.jpg,klikun
klikun,0.5747269,324,685,506,640,klikun\images\3090729843.jpg,klikun
shipun,0.49679944,1029,351,640,640,klikun\images\3090729843.jpg,klikun
klikun,0.48913676,1032,352,640,640,klikun\images\3090729843.jpg,klikun
shipun,0.30482456,13,2,640,640,klikun\images\3090729843.jpg,klikun
klikun,0.93486875,656,275,640,640,klikun\images\3090784006.jpg,klikun
shipun,0.81923604,1338,500,640,640,klikun\images\3090784006.jpg,klikun
klikun,0.92255163,191,238,640,640,klikun\images\3097779307.jpg,klikun
klikun,0.8000693,593,103,640,640,klikun\images\3097779307.jpg,klikun
klikun,0.841058,187,208,640,441,klikun\images\3109250668.jpg,klikun
klikun,0.93439806,363,263,640,578,klikun\images\3321093765.jpg,klikun
klikun,0.4022245,567,582,640,631,klikun\images\3321093765.jpg,klikun
klikun,0.1825914,467,574,597,628,klikun\images\3321093765.jpg,klikun
klikun,0.93840235,548,302,640,640,klikun\images\3325615402.jpg,klikun
klikun,0.8405467,232,247,640,640,klikun\images\3327678238.jpg,klikun
shipun,0.7899043,428,305,640,640,klikun\images\3327837555.jpg,klikun
klikun,0.6760077,3,390,640,640,klikun\images\3355155392.jpg,klikun
maliy,0.736152,587,188,640,640,klikun\images\3355172152.jpg,klikun
klikun,0.5608231,589,189,640,640,klikun\images\3355172152.jpg,klikun
klikun,0.95155555,753,198,640,640,klikun\images\3380731349.jpg,klikun
shipun,0.5785099,567,92,640,640,klikun\images\3384109968.jpg,klikun
klikun,0.66064936,41,206,640,640,klikun\images\3384984251.jpg,klikun
shipun,0.4910664,882,5,640,640,klikun\images\3384984251.jpg,klikun
klikun,0.82749295,269,398,640,640,klikun\images\3407979741.jpg,klikun
klikun,0.75290966,237,248,640,640,klikun\images\3408150339.jpg,klikun
klikun,0.9500853,302,299,497,469,klikun\images\3414709439.jpg,klikun
klikun,0.89824694,14,220,292,385,klikun\images\3414709439.jpg,klikun
klikun,0.81123394,119,292,283,442,klikun\images\3414709439.jpg,klikun
maliy,0.7861666,123,94,344,436,klikun\images\3429654851.jpg,klikun
klikun,0.9552396,312,265,640,640,klikun\images\3429891501.jpg,klikun
shipun,0.6968089,19,153,640,440,klikun\images\3430020752.jpg,klikun
shipun,0.65130204,411,93,640,450,klikun\images\3430293391.jpg,klikun
shipun,0.2720051,271,218,539,407,klikun\images\3430293391.jpg,klikun
klikun,0.9122547,200,242,640,640,klikun\images\3431524774.jpg,klikun
klikun,0.8621438,460,122,640,640,klikun\images\3434277974.jpg,klikun
klikun,0.84741783,1342,0,640,432,klikun\images\3455520643.jpg,klikun
shipun,0.62867904,695,405,640,640,klikun\images\3455520643.jpg,klikun
maliy,0.41396984,110,0,390,158,klikun\images\3455520643.jpg,klikun
klikun,0.35259274,2,0,118,385,klikun\images\3455520643.jpg,klikun
maliy,0.33093256,194,2,640,313,klikun\images\3455520643.jpg,klikun
klikun,0.31943136,194,0,640,316,klikun\images\3455520643.jpg,klikun
maliy,0.26666,2,0,117,385,klikun\images\3455520643.jpg,klikun
maliy,0.23751788,290,0,526,67,klikun\images\3455520643.jpg,klikun
klikun,0.2120142,1060,0,640,159,klikun\images\3455520643.jpg,klikun
klikun,0.21120828,566,0,640,210,klikun\images\3455520643.jpg,klikun
klikun,0.19009356,852,4,640,324,klikun\images\3455520643.jpg,klikun
klikun,0.17651826,110,0,391,158,klikun\images\3455520643.jpg,klikun
klikun,0.17549728,691,401,640,640,klikun\images\3455520643.jpg,klikun
klikun,0.11610312,1545,0,640,157,klikun\images\3455520643.jpg,klikun
shipun,0.8590936,0,201,640,640,klikun\images\3456434230.jpg,klikun
klikun,0.37156957,328,319,640,640,klikun\images\3456834210.jpg,klikun
klikun,0.7569502,449,432,640,640,klikun\images\3466488722.jpg,klikun
klikun,0.83488774,735,285,640,527,klikun\images\3704287312.jpg,klikun
klikun,0.8170729,159,184,640,545,klikun\images\3704287312.jpg,klikun
klikun,0.79150414,1062,70,640,507,klikun\images\3704287312.jpg,klikun
maliy,0.16410525,1062,71,640,508,klikun\images\3704287312.jpg,klikun
maliy,0.12779398,736,283,640,528,klikun\images\3704287312.jpg,klikun
maliy,0.121603064,164,183,640,550,klikun\images\3704287312.jpg,klikun
klikun,0.7897142,134,274,592,531,klikun\images\3705727932.jpg,klikun
maliy,0.5485152,634,236,640,342,klikun\images\3705727932.jpg,klikun
maliy,0.27873334,406,284,640,492,klikun\images\3705727932.jpg,klikun
klikun,0.1972428,408,284,640,493,klikun\images\3705727932.jpg,klikun
klikun,0.12543169,656,232,640,349,klikun\images\3705727932.jpg,klikun
klikun,0.8969616,1052,458,640,640,klikun\images\3711756447.jpg,klikun
klikun,0.84376705,1207,462,640,640,klikun\images\3711756447.jpg,klikun
klikun,0.8402422,186,202,640,640,klikun\images\3711756447.jpg,klikun
klikun,0.74578965,138,136,449,469,klikun\images\3714716803.jpg,klikun
shipun,0.87684613,379,232,640,640,klikun\images\3718528886.jpg,klikun
klikun,0.95039666,171,68,572,497,klikun\images\3718539589.jpg,klikun
klikun,0.95934093,266,112,640,495,klikun\images\3718744850.jpg,klikun
klikun,0.93641627,288,168,594,448,klikun\images\3718759666.jpg,klikun
klikun,0.8864933,100,103,391,442,klikun\images\3718814101.jpg,klikun
klikun,0.5379347,503,4,640,436,klikun\images\3718975299.jpg,klikun
